nom,id,nom,match,"﻿""mcode""",population,établissements,eta per capita,habitant par éta
Québec,3602319206,quebec,Québec,23027,549937,454,"0,000825549108352411","1211,31497797357"
Lachute,3607697271,lachute,Lachute,76020,14794,12,"0,00081113965120995","1232,83333333333"
Laval,3601438336,laval,Laval,65005,441929,358,"0,000810084877887624","1234,43854748603"
Sainte-Thècle,3608394058,saintethecle,Sainte-Thècle,35050,2492,2,"0,000802568218298555",1246
Salaberry-de-Valleyfield,3607765243,salaberrydevalleyfield,Salaberry-de-Valleyfield,70052,42410,34,"0,000801697712803584","1247,35294117647"
Saint-Léonard-d'Aston,3608042768,saintleonarddaston,Saint-Léonard-d'Aston,50042,2518,2,"0,00079428117553614",1259
Bolton-Est,3607953122,boltonest,Bolton-Est,45095,1276,1,"0,000783699059561129",1276
Saint-Adolphe-d'Howard,3607697469,saintadolphedhoward,Saint-Adolphe-d'Howard,77065,3880,3,"0,00077319587628866","1293,33333333333"
La Minerve,3607362393,laminerve,La Minerve,78130,1294,1,"0,000772797527047913",1294
Saint-Urbain-Premier,3607765239,sainturbainpremier,Saint-Urbain-Premier,70005,1294,1,"0,000772797527047913",1294
Westmount,3600197561,westmount,Westmount,66032,20974,16,"0,000762849241918566","1310,875"
Frampton,3608180107,frampton,Frampton,26005,1313,1,"0,000761614623000762",1313
Métabetchouan–Lac-à-la-Croix,3608374629,metabetchouanlacalacroix,Métabetchouan--Lac-à-la-Croix,93012,3955,3,"0,000758533501896334","1318,33333333333"
Weedon,3607953228,weedon,Weedon,41098,2637,2,"0,000758437618505878","1318,5"
